ID	CODIGO	DESCRIPCION	CODIGO GENERICO	CODIGO VINCULADO	LINEA	SUBLINEA	GRUPO	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	Estatus	CTV	PVP	RENTABILIDAD	RENTABILID PROY	VEL EFECT	SERVICIO	PROVEEDOR	PERFIL	T REP	F REP	BUFFER	INV PROVEEDOR	INV FISICO	CONS BUFF	COLOR	INV TRANSITO	NEGOCIACIÓN	PRODUCCIÓN	EMBARCADO	COMPROMETIDO	BACKORDER	INV PROYECTADO	CONSUMO INV PROY	COLOR1	PEDIDO MIN	PEDIDO MIN GRUPO	UNIDAD EMPAQUE	PEDIDO PROMEDIO	COBERT BUFFER	COBERT INV PROY	COBERT PEDID MIN	DIAS DESABASTECIM	ULT TRANSFER INI	ULT TRANSFER FIN	Columna1	Columna2	Columna3	Columna4	Columna5	Columna6	REQUERIM	REQ TOTAL	PO	EMBARQUES	Emb1	Emb2	Emb3	Emb4	Emb5	OBSERVACIONES	TAMAÑO RELATIVO	DESPACHO	RECIBIDO	TRANSITO	OBSERVACIONES DESPACHOS	OBSERVACIONES RECEPCIONES	TIPO TRANSF	Error Pedid Min Grupo	Color Proyectado	ZONA AMARILLA	ZONA ROJA
12	71420962	Genesis Inserto Constreñido T. 1-2  13mm	0	0	0	0	0	0	Insertos Constreñidos	0	0	SMITH & NEPHEW	0	0	0	172.84	2	0	-15.81	0	1	Bodega ECU	Clientes	1	2	2	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	2	2			2	0	0	0	0		2			2			N	0	A	2	1
12	71420964	Genesis Inserto Constreñido T. 1-2  15mm	0	0	0	0	0	0	Insertos Constreñidos	0	0	SMITH & NEPHEW	0	0	0	170.32	2	0	-15.81	0	1	Bodega ECU	Clientes	1	2	2	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	2	2			2	0	0	0	0		2			2			N	0	A	2	1
12	71420966	Genesis Inserto Constreñido T. 1-2  18mm	0	0	0	0	0	0	Insertos Constreñidos	0	0	SMITH & NEPHEW	0	0	0	174.75	2	0	-15.82	0	1	Bodega ECU	Clientes	1	2	2	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	2	2			2	0	0	0	0		2			2			N	0	A	2	1
12	71420968	Genesis Inserto Constreñido T. 1-2  21mm	0	0	0	0	0	0	Insertos Constreñidos	0	0	SMITH & NEPHEW	0	0	0	174.51	2	0	-15.82	0	1	Bodega ECU	Clientes	1	2	1	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	1	1			1	0	0	0	0		1			1			N	0	A	1	0.5
12	71420970	Genesis Inserto Constreñido T. 1-2  25mm	0	0	0	0	0	0	Insertos Constreñidos	0	0	SMITH & NEPHEW	0	0	0	169.76	2	0	-15.81	0	1	Bodega ECU	Clientes	1	2	1	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	1	1	0	0	0	15	0	0	0	0	0	0	0	0	1	1			1	0	0	0	0		1			1			N	0	A	1	0.5
12	71421012	COMPONENTE FEM OXINIUM GENESIS II IZQ 2	0	0	0	0	0	0	COMPONENTE FEMORAL OXINIUM (IZQUIERDO Y	0	0	SMITH & NEPHEW	0	0	0	1164.97	2568.51	0	19.28	0	1	Bodega ECU	Clientes	1	2	5	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	5	5			5	0	0	0	0		1.666666667			5			N	0	V	3	2
12	71421013	COMPONENTE FEM OXINIUM GENESIS II IZQ 3	0	0	0	0	0	0	COMPONENTE FEMORAL OXINIUM (IZQUIERDO Y	0	0	SMITH & NEPHEW	0	0	0	1175.71	2568.51	0	18.95	0	1	Bodega ECU	Clientes	1	2	6	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	6	6			6	0	0	0	0		1.5			6			N	0	V	4	2
12	71421014	COMPONENTE FEM OXINIUM GENESIS II IZQ 4	0	0	0	0	0	0	COMPONENTE FEMORAL OXINIUM (IZQUIERDO Y	0	0	SMITH & NEPHEW	0	0	0	1151.92	2594.28	0	20.03	0	1	Bodega ECU	Clientes	1	2	6	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	6	6			6	0	0	0	0		1.5			6			N	0	V	4	2
12	71421015	COMPONENTE FEM OXINIUM GENESIS II IZQ 5	0	0	0	0	0	0	COMPONENTE FEMORAL OXINIUM (IZQUIERDO Y	0	0	SMITH & NEPHEW	0	0	0	1151.92	2568.51	0	19.68	0	1	Bodega ECU	Clientes	1	2	5	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	5	5			5	0	0	0	0		1.666666667			5			N	0	V	3	2
12	71421016	COMPONENTE FEM OXINIUM GENESIS II IZQ 6	0	0	0	0	0	0	COMPONENTE FEMORAL OXINIUM (IZQUIERDO Y	0	0	SMITH & NEPHEW	0	0	0	1179.1	2568.51	0	18.85	0	1	Bodega ECU	Clientes	1	2	5	1000000000	0	1	N	0	0	0	0	0	0	0	1	N	0	0	1	3	0	0	0	7	0	0	0	0	0	0	0	0	5	5			5	0	0	0	0		1.666666667			5			N	0	V	3	2
